Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Always On,Search Engine,SEA Adwords,Conversion,Brand,1218.935572273007,79273.0,15.37642794233859,20602.0,0.25988672057320905,0.059165885461266235,14829.0,0.08219944515968756,0.7197844869430152,68.0,17.92552312166187,0.0045856092791152474,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,M 1000 RR (0P01),211.7596935929613,17338.0,12.213617118062134,1591.0,0.09176375591186989,0.13309848748771924,982.0,0.21564123583804612,0.6172218730358265,1.0,211.7596935929613,0.0010183299389002036,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS (0M21),169.40450984661436,10988.0,15.417228781089767,1236.0,0.11248634874408446,0.13705866492444527,888.0,0.190770844421863,0.7184466019417476,1.0,169.40450984661436,0.0011261261261261261,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,CE 02 (0C71),161.5990978174785,11313.0,14.284371768538717,1109.0,0.09802881640590472,0.14571604852793374,789.0,0.20481507961657605,0.7114517583408476,4.0,40.39977445436963,0.005069708491761723,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (0K61),125.5704494315048,6393.0,19.64186601462612,940.0,0.14703582042859378,0.13358558450160085,747.0,0.16809966456694084,0.7946808510638298,5.0,25.11408988630096,0.006693440428380187,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,NOT MAPPED,97.4374081453085,8984.0,10.845659855889192,733.0,0.08158949243098843,0.13292961547791063,377.0,0.25845466351540713,0.514324693042292,5.0,19.487481629061698,0.013262599469496022,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,F 800 GS (0K51),70.6268202910316,5271.0,13.399131149882681,528.0,0.10017074558907228,0.1337629172178629,377.0,0.18733904586480532,0.7140151515151515,6.0,11.771136715171934,0.015915119363395226,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,Dealer,59.5051996300423,2373.0,25.07593747578689,514.0,0.21660345554150864,0.11576887087556867,297.0,0.20035420750855992,0.5778210116731517,4.0,14.876299907510575,0.013468013468013467,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,CE 04 (0C51),57.1065015183159,3150.0,18.129048101052668,430.0,0.1365079365079365,0.13280581748445558,308.0,0.18541071921531138,0.7162790697674418,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (0K21),46.4023045155755,3210.0,14.455546578060904,389.0,0.12118380062305296,0.11928612986009127,3.0,15.467434838525167,0.007712082262210797,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,R 1250 GS Adventure (0M11),38.9594197108245,3710.0,10.501191296718194,275.0,0.07412398921832884,0.1416706171302709,,NaN,0.0,,NaN,NaN,,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,R 18 (0N71),36.06256351132461,2838.0,12.707034359170054,261.0,0.0919661733615222,0.13817074142269967,156.0,0.2311702789187475,0.5977011494252874,1.0,36.06256351132461,0.00641025641025641,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,G 310 GS (0G31),30.5383204726954,2093.0,14.590693011321262,226.0,0.10797897754419493,0.13512531182608584,173.0,0.17652208365719885,0.7654867256637168,1.0,30.5383204726954,0.005780346820809248,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GTL (0F31),26.2317962509349,2733.0,9.598169136822136,187.0,0.06842297841200147,0.1402769852991171,134.0,0.19575967351443954,0.7165775401069518,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,G 310 R (0G41),24.76398819775627,2157.0,11.480754843651493,184.0,0.08530366249420492,0.13458689237911017,116.0,0.21348265687720921,0.6304347826086957,1.0,24.76398819775627,0.008620689655172414,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GT (0F21),24.8954069046015,2637.0,9.440806562230376,180.0,0.06825938566552901,0.138307816136675,124.0,0.20076941052097985,0.6888888888888889,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (0S11),11.2828172042657,569.0,19.829204225423023,86.0,0.15114235500878734,0.13119554888681045,61.0,0.1849642164633721,0.7093023255813954,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,C 400 GT (0S01),5.96063534968974,578.0,10.312517906037613,42.0,0.0726643598615917,0.14191988927832716,17.0,0.3506256088052788,0.40476190476190477,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,K 1600 B (0F61),3.05907418273782,242.0,12.64080240800752,22.0,0.09090909090909091,0.13904882648808273,19.0,0.16100390435462208,0.8636363636363636,1.0,3.05907418273782,0.05263157894736842,0.0,,NaN
PL,Always On,Search Engine,SEA Adwords,Conversion,R 18 Transcontinental (0L41),1.71605092733964,120.0,14.300424394497002,12.0,0.1,0.14300424394497,10.0,0.17160509273396402,0.8333333333333334,0.0,NaN,0.0,0.0,,NaN
PL,Always On,Display,DV360,Consideration,Multi,1888.937562,2902877.0,0.6507122285925309,9937.0,0.0034231557175863807,0.1900913315890108,,NaN,0.0,,NaN,NaN,,,NaN
PL,Always On,Display,DV360,Conversion,Multi,539.852583,355224.0,1.5197525589487197,559.0,0.0015736549332252326,0.9657470178890877,,NaN,0.0,,NaN,NaN,,,NaN
PL,Tactical,Social Networks,META (FB&Insta),Conversion,Multi,2337.32,1355184.0,1.7247252033672182,13416.0,0.009899762689051819,0.17421884317233155,,NaN,0.0,,NaN,NaN,,320.0,7.304125000000001
