Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Line Item (Free Field),Campaign Detail (Free Field),Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,URBAN-MOBILITY,MULTI-WEBFORMS,7087.799999999999,1425067.0,4.973660887523183,10190.0,0.007150540992107739,0.6955642787046123,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,HERITAGE,MULTI-WEBFORMS,3761.1800000000003,931534.0,4.037619668203201,7086.0,0.00760680769569334,0.5307902907140841,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,ADVENTURE,MULTI-WEBFORMS,2931.7000000000007,780740.0,3.755027281809566,5383.0,0.006894740886850936,0.5446219580159763,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,ROADSTER,MULTI-WEBFORMS,1629.1999999999998,609878.0,2.671353942919731,7904.0,0.012959969042988925,0.2061234817813765,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,SPORT,MULTI-WEBFORMS,719.39,298876.0,2.4069848365208317,3222.0,0.010780390529851845,0.22327436374922408,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,Multi,TOUR,MULTI-WEBFORMS,295.56,71819.0,4.115345521380136,673.0,0.009370779320235592,0.43916790490341756,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,HERITAGE,MULTI-WEBFORMS,4099.29,1138332.0,3.601137453748115,9932.0,0.008725046822895254,0.4127356020942408,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,TOUR,MULTI-WEBFORMS,674.13,212568.0,3.1713616348650784,2259.0,0.010627187535282826,0.2984196547144754,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,SPORT,MULTI-WEBFORMS,449.53000000000003,156239.0,2.877194554496637,2228.0,0.014260203918355852,0.20176391382405745,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,ROADSTER,MULTI-WEBFORMS,34.160000000000004,10940.0,3.122486288848264,219.0,0.020018281535648993,0.15598173515981736,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,R 1300 GS (KA1),ADVENTURE,MULTI-WEBFORMS,3980.01,1145778.0,3.4736310175269556,7101.0,0.0061975356482669415,0.5604858470637939,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,CE 02 (K06),URBAN-MOBILITY,MULTI-WEBFORMS,2167.44,514594.0,4.2119418415294385,4596.0,0.008931312840802652,0.47159268929503917,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,R 1300 GS Adventure (KA2),ADVENTURE,MULTI-WEBFORMS,1430.28,389644.0,3.6707353378981837,2365.0,0.006069643058792128,0.60476955602537,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,F 900 GS (K81),ADVENTURE,MULTI-WEBFORMS,1265.05,477500.0,2.649319371727749,5122.0,0.010726701570680628,0.24698360015618898,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,R 12 (KR3),HERITAGE,MULTI-WEBFORMS,830.64,211941.0,3.919203929395445,1944.0,0.009172364006964202,0.42728395061728397,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,CE 04 (K07),URBAN-MOBILITY,MULTI-WEBFORMS,585.43,90813.0,6.4465439970048335,1364.0,0.015019876008941451,0.42920087976539584,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,M 1000 R (KM3),SPORT,MULTI-WEBFORMS,263.2,171623.0,1.5335939821585685,2463.0,0.014351223320883564,0.10686155095412099,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,R 18 (K34),HERITAGE,MULTI-WEBFORMS,238.76,70788.0,3.3728880601231848,559.0,0.007896818669831045,0.42711985688729875,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,C 400 GT (K08),URBAN-MOBILITY,MULTI-WEBFORMS,80.12,18549.0,4.319370316459109,180.0,0.009704027171276079,0.4451111111111111,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,S 1000 XR (K69),SPORT,MULTI-WEBFORMS,46.42,27942.0,1.6612984038365186,407.0,0.014565886479135351,0.11405405405405405,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,K 1600 GT(K48),TOUR,MULTI-WEBFORMS,27.86,6695.0,4.161314413741598,64.0,0.009559372666168783,0.4353125,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,F 900 GS Adventure (K82),ADVENTURE,MULTI-WEBFORMS,22.44,5751.0,3.9019300991131978,55.0,0.009563554164493131,0.40800000000000003,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,S 1000 R (K63),ROADSTER,MULTI-WEBFORMS,20.15,6438.0,3.1298539919229573,61.0,0.009474992233612924,0.330327868852459,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,C 400 X (K09),URBAN-MOBILITY,MULTI-WEBFORMS,10.73,1773.0,6.051889452904682,12.0,0.00676818950930626,0.8941666666666667,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,S 1000 RR (K67),SPORT,MULTI-WEBFORMS,9.89,4444.0,2.2254725472547254,34.0,0.00765076507650765,0.2908823529411765,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Conversion,F 900 XR (K84),SPORT,MULTI-WEBFORMS,0.8,262.0,3.053435114503817,2.0,0.007633587786259542,0.4,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,URBAN-MOBILITY,MULTI,10892.58,2782723.0,3.914360142924754,25705.0,0.009237354921779854,0.4237533553783311,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,ADVENTURE,MULTI,5281.16,1571066.0,3.361513774723659,12206.0,0.0077692471226543,0.4326691790922497,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,HERITAGE,MULTI,4942.19,1865925.0,2.648654152766054,16792.0,0.008999289896432065,0.2943181276798475,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,STORE-LOCATOR,MULTI,1503.33,445398.0,3.375250899195775,4660.0,0.010462552593410838,0.32260300429184546,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,BMW-MTR-TOUR-BOULOGNE-SUR-MER,CONSIDERATION,1262.19,738038.0,1.710196493947466,3885.0,0.00526395659844073,0.3248880308880309,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,EQUIPMENT-2,MULTI,641.66,417922.0,1.5353582725963217,4442.0,0.010628777618790108,0.14445294912201712,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,EQUIPMENT,MULTI,640.9100000000001,139478.0,4.595061586773542,2024.0,0.014511249085877342,0.316655138339921,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,ROADSTER,MULTI,587.1400000000001,333303.0,1.7615803038076467,4879.0,0.014638332088220027,0.12034023365443741,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,BMW-MTR-TOUR-ROUEN,CONSIDERATION,440.15,276300.0,1.5930148389431775,1426.0,0.005161056822294607,0.3086605890603085,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,SPORT,MULTI,357.61,128041.0,2.792933513483962,1517.0,0.011847767511968822,0.2357350032959789,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,Multi,TOUR,MULTI,257.85,81427.0,3.1666400579660308,975.0,0.011973915286084469,0.26446153846153847,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,SPORT,MULTI,628.56,275985.0,2.277515082341431,5232.0,0.018957552040871788,0.12013761467889907,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,TOUR,MULTI,342.91,123249.0,2.7822538113899506,2032.0,0.01648694918417188,0.16875492125984254,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,ROADSTER,MULTI,301.95,113476.0,2.6609150833656456,2277.0,0.02006591702210159,0.1326086956521739,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,R 1300 GS (KA1),ADVENTURE,MULTI,480.65,119034.0,4.037921938269737,798.0,0.006703966933817229,0.6023182957393484,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Always On,Social Networks,META (FB&Insta),Consideration,R 1300 GS Adventure (KA2),ADVENTURE,MULTI,59.230000000000004,15339.0,3.8613990481778475,138.0,0.008996675141795423,0.4292028985507247,,NaN,0.0,,NaN,NaN,,NaN,,NaN
