Country,Campaign Type,Channel Type,Channel Name,Phase,"Model ",Line Item (Free Field),Campaign Detail (Free Field),Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,CP Lead Forms
IT,Tactical,Display,Citynews,Consideration,R 12 (KR3),CITYNEWS-LOOKBOOK-SUMMER,XXX,6048.8158,570643.0,10.6,9128.0,0.015995990487923273,0.6626660604732691,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Citynews,Consideration,R 1300 GS (KA1),CITYNEWS-SLIDER,XXX,0.0245243814,3.0,8.1747938,1.0,0.3333333333333333,0.0245243814,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Manzoni,Consideration,F 900 GS (K81),MANZONI-INTROPAGE-SUMMER,XXX,3653.2881,204666.0,17.85,5444.0,0.02659943517731328,0.6710668809698751,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Manzoni,Consideration,R 12 (KR3),MANZONI-BOX-SUMMER,XXX,387.41103,53289.0,7.27,34.0,6.380303627390268E-4,11.394442058823529,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Consideration,C 400 GT (K08),CRM-BOX-SUMMER,XXX,1989.5865,156046.0,12.75,133.0,8.52312779565E-4,14.959296992481201,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Consideration,F 900 GS (K81),CRM-MASTHEAD-SUMMER,XXX,1257.5376,61644.0,20.400000000000002,65.0,0.001054441632600091,19.34673230769231,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Consideration,R 1300 GS (KA1),CRM-INTERSTITIAL-SUMMER,XXX,393.3273,77123.0,5.1,1506.0,0.019527248680678917,0.2611735059760956,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Consideration,CE 04 (K07),CRM-BOX,XXX,0.0088551488,2.0,4.4275744,0.0,0.0,,1.0,0.0088551488,NaN,0.0,NaN,0.0,0.0,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Consideration,CE 04 (K07),CRM-INTERSTITIAL,XXX,0.008,1.0,8.0,0.0,0.0,,5.0,0.0016,NaN,0.0,NaN,0.0,0.0,NaN,,NaN
IT,Tactical,Display,CRM (Automoto),Conversion,Multi,CRM-DEM-RENT-A-RIDE,XXX,89.9343193564,1108.0,81.1681582638989,3.0,0.002707581227436823,29.978106452133332,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Edidomus,Consideration,C 400 GT (K08),EDIDOMUS-OVERLAY-SUMMER,XXX,1866.703,81161.0,23.0,2045.0,0.02519683099025394,0.9128132029339853,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Edidomus,Consideration,R 12 (KR3),EDIDOMUS-BOX-SUMMER,XXX,461.881,65983.0,6.999999999999999,49.0,7.426155221799555E-4,9.426142857142857,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Edidomus,Consideration,F 900 GS (K81),EDIDOMUS-OVERLAY,XXX,0.115,5.0,23.0,2.0,0.4,0.0575,5.0,0.023,2.5,0.0,NaN,0.0,0.0,NaN,,NaN
IT,Tactical,Display,Sportnetwork,Consideration,R 1300 GS (KA1),SPORTNERWORK-MIX-DISPLAY-SUMMER,XXX,1561.491,206820.0,7.55,499.0,0.002412726041968862,3.129240480961924,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Sportnetwork,Consideration,F 900 GS (K81),SPORTNERWORK-SKIN-SUMMER,XXX,567.6685,162191.0,3.5,577.0,0.0035575340185337043,0.9838275563258232,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Sportnetwork,Consideration,CE 04 (K07),SPORTNETWORK-INTROPAGE,XXX,0.0118649805,1.0,11.8649805,0.0,0.0,,11.0,0.001078634590909091,NaN,0.0,NaN,0.0,0.0,NaN,,NaN
IT,Tactical,Display,Mediamond,Consideration,R 1300 GS (KA1),MEDIAMOND-WELCOME-AD-SUMMER,XXX,1755.632,219454.0,8.0,7524.0,0.03428508935813428,0.23333758639021798,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,MP Realtime,Consideration,R 12 (KR3),SWIPE-SUMMER-CAMPAIGN,XXX,235.482,362280.0,0.65,2559.0,0.007063597217621729,0.09202110199296601,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,MP Realtime,Consideration,Multi,INVIBES-SWIPE,XXX,0.0498578056,5.0,9.97156112,3.0,0.6,0.016619268533333332,1.0,0.0498578056,0.3333333333333333,0.0,NaN,0.0,0.0,NaN,,NaN
IT,Tactical,Display,BreakEven,Consideration,CE 02 (K06),BREAKEVEN-NATIVE,XXX,1.6338898742,335.0,4.8772832065671645,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,BreakEven,Consideration,CE 02 (K06),BREAKEVEN-MINISCROLLER,XXX,1.5703898589,161.0,9.753974278881987,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,BreakEven,Consideration,CE 02 (K06),BREAKEVEN-INTERSCROLLER,XXX,1.5703653511,161.0,9.753822056521738,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Cairo RCS,Awareness,CE 04 (K07),CAIRO-SKIN,XXX,0.006,1.0,6.0,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Cairo RCS,Consideration,CE 02 (K06),CAIRO-SKIN-MPU,XXX,0.006,1.0,6.0,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Subito.it,Consideration,Multi,SUBITO-SKIN,XXX,0.009,1.0,9.0,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Subito.it,Consideration,Multi,SUBITO-MASTHEAD,XXX,9.261737E-4,2.0,0.46308685,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Adform DSP,Consideration,CE 02 (K06),Peer39,PROGRAMMATIC,0.005803,2.0,2.9015,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Display,Adform DSP,Consideration,CE 02 (K06),IAS,PROGRAMMATIC,0.003001,1.0,3.0010000000000003,0.0,0.0,,,NaN,NaN,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,R nineT (KR1),A-COMMERCIAL,SUMMER-CAMPAIGN,2086.14,540043.0,3.8629146197617596,5156.0,0.009547387893186283,0.40460434445306437,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,C 400 GT (K08),B-FINANCIAL,SUMMER-CAMPAIGN,869.42,243970.0,3.56363487314014,2277.0,0.00933311472722056,0.38182696530522614,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,R 1300 GS (KA1),B-FINANCIAL,SUMMER-CAMPAIGN,759.63,224969.0,3.3765985535784933,2118.0,0.009414630460196739,0.3586543909348442,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,R 12 (KR3),B-FINANCIAL,SUMMER-CAMPAIGN,423.84,130958.0,3.2364574901876937,1002.0,0.007651308052963546,0.42299401197604786,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,CE 02 (K06),B-FINANCIAL,SUMMER-CAMPAIGN,30.6,7652.0,3.998954521693675,61.0,0.00797177208572922,0.5016393442622951,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Tactical,Social Networks,META (FB&Insta),Consideration,Multi,1,XXX,23.09,8521.0,2.709775847905175,88.0,0.010327426358408637,0.26238636363636364,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,Brand,,ALO,7445.941333999999,279173.0,26.671423576062153,106276.0,0.38068151289702085,0.07006230319168956,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,Multi,,ALO,2039.9859830000003,97879.0,20.841916887177025,11346.0,0.11591863423206203,0.1797978127093249,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,NOT MAPPED,,ALO,1452.687962,47244.0,30.74862335958005,7862.0,0.16641266615866565,0.18477333528364284,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,Generic,,ALO,1427.997947,53871.0,26.507730448664404,4032.0,0.07484546416439272,0.3541661574900794,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS (KA1),,ALO,680.223903,31200.0,21.802048173076923,5400.0,0.17307692307692307,0.12596738944444444,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (K84),,ALO,551.60897,22356.0,24.67386697083557,4175.0,0.186750760422258,0.13212190898203593,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (K09),,ALO,413.714025,12678.0,32.632436109796494,2660.0,0.20981227322921597,0.15553158834586467,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,R 12 (KR3),,ALO,369.018858,9467.0,38.979492764339284,1705.0,0.1800992922784409,0.2164333478005865,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,M 1000 XR (KM9),,ALO,346.79865,11429.0,30.34374398460058,1308.0,0.11444570828593928,0.26513658256880734,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,C 400 GT (K08),,ALO,319.513507,10815.0,29.54355127138234,2100.0,0.1941747572815534,0.15214928904761904,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (K81),,ALO,310.748839,12463.0,24.93371090427666,2286.0,0.18342293187835995,0.13593562510936133,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,CE 04 (K07),,ALO,259.458248,9224.0,28.128604509973982,1652.0,0.17909800520381614,0.15705705084745764,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,S 1000 XR (K69),,ALO,259.166413,12315.0,21.044775720665854,1895.0,0.15387738530247666,0.13676327862796833,,NaN,0.0,,NaN,NaN,,NaN,,NaN
IT,Always On,Search Engine,SEA Adwords,Conversion,S 1000 RR (K67),,ALO,245.356308,14105.0,17.39498816022687,1881.0,0.13335696561503013,0.1304392918660287,,NaN,0.0,,NaN,NaN,,NaN,,NaN
