Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Line Item (Free Field),Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
NL,Launch,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,XXX,4546.17,1524590.0,2.981896772246965,26064.0,0.01709574377373589,0.17442334254143646,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Launch,Social Networks,META (FB&Insta),Consideration,Multi,XXX,1011.8800000000001,244514.0,4.138331547477854,3468.0,0.014183236951667389,0.29177623990772783,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Launch,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,XXX,5549.060000000001,1061648.0,5.226836013443252,7937.0,0.007476112609829247,0.6991382134307674,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,Brand,,824.5579879999999,44507.0,18.526478711213965,15787.0,0.3547082481407419,0.05223018863621967,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,NOT MAPPED,,395.442464,13417.0,29.47324021763434,2746.0,0.2046657225907431,0.14400672396212671,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS (KA1),,127.975252,4779.0,26.778667503661854,605.0,0.12659552207574806,0.21152934214876032,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,Multi,,59.950213000000005,3158.0,18.983601329955672,426.0,0.13489550348321722,0.14072819953051643,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,Generic,,103.628456,2808.0,36.9047207977208,391.0,0.13924501424501423,0.26503441432225067,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (K84),,49.583046,2256.0,21.978300531914897,293.0,0.12987588652482268,0.16922541296928328,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS Adventure (KA2),,65.986256,2060.0,32.03216310679611,286.0,0.13883495145631067,0.23072117482517482,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,R 12 (KR3),,54.818071,1516.0,36.159677440633246,255.0,0.16820580474934038,0.2149728274509804,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,CE 02 (K06),,32.062639,1374.0,23.335254002911203,203.0,0.1477438136826783,0.1579440344827586,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,S 1000 RR (K67),,24.29723,1247.0,19.484546912590215,195.0,0.15637530072173217,0.12460117948717948,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,S 1000 XR (K69),,36.596114,1390.0,26.328139568345325,183.0,0.1316546762589928,0.1999787650273224,,NaN,0.0,,NaN,NaN,,NaN,,NaN
NL,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (K81),,23.949607,874.0,27.40229633867277,161.0,0.18421052631578946,0.14875532298136646,,NaN,0.0,,NaN,NaN,,NaN,,NaN
