COUNTRY,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,14351.116457227177,7862895.0,1.8251695408913862,87958.0,0.011186465036096755,0.16315874004896858,21700.0,0.23110398420401734,0.2467086564041929,116.0,43.23238325195842,0.005345622119815668,0.0,1360.0,6.8648235294117645
Not Valid,15476.187157,4784867.0,3.2344027863261404,74066.0,0.015479218126648034,0.20895130231145195,73911.0,0.12485769583688493,0.9979072718926363,205.0,45.01637637560977,0.002773606093815535,0.0,472.0,0.0
GR,3779.0100480000006,3838231.0,0.984570769190286,60785.0,0.015836722698555662,0.06217010854651642,,NaN,0.0,,NaN,NaN,,174.0,11.92028735632184
CZ,7080.947819996363,2647972.0,2.6741022261550964,44339.0,0.016744512404209714,0.15970021470931603,2223.0,0.7733368511004788,0.05013644872459911,1.0,1719.1278199963642,4.49842555105713E-4,0.0,864.0,6.205810185185186
RO,5278.508056487347,4112543.0,1.2835143745578703,43835.0,0.010658855117137985,0.12041765841193902,,NaN,0.0,,NaN,NaN,,976.0,4.126946721311476
HU,3478.7628782982742,2368702.0,1.4686367801007785,30586.0,0.012912557172662497,0.11373709796306396,,NaN,0.0,,NaN,NaN,,444.0,4.570743243243243
SK,4437.471672,1881889.0,2.3579879961039145,24134.0,0.012824348301095335,0.18386805635203446,,NaN,0.0,,NaN,NaN,,420.0,8.355238095238093
SI,3650.267105000002,2317504.0,1.5750855683528495,19614.0,0.00846341581287454,0.1861051853268075,,NaN,0.0,,NaN,NaN,,374.0,7.71016042780749
BG,2008.6121139999996,1733533.0,1.1586812099913872,19079.0,0.011005847595632733,0.10527868934430523,2360.0,0.1300220822033899,0.12369621049321243,6.0,51.142019000000026,0.002542372881355932,0.0,182.0,9.350329670329671
Linkpost - statika - F800GS,3135.96,2204921.0,1.422255037708834,10284.0,0.004664112682495201,0.30493582263710617,,NaN,0.0,,NaN,NaN,,186.0,0.0
Linkpost - static - F800GS,3886.4999999999995,1285678.0,3.022918646815143,5516.0,0.0042903433052443925,0.7045866569978244,,NaN,0.0,,NaN,NaN,,100.0,0.0
AT,2347.308028,3303254.0,0.7106047636663726,5127.0,0.0015521058931586853,0.4578326561341915,21199.0,0.11072729977829142,4.134776672518042,38.0,61.77126389473684,0.0017925373838388603,0.0,,NaN
Linkpost - static - F800,210.42000000000002,312105.0,0.6741961839765463,2512.0,0.008048573396773522,0.08376592356687898,,NaN,0.0,,NaN,NaN,,,NaN
