COUNTRY,Channel Type,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Social Networks,9336.160000000003,4192826.0,2.2266986514584683,45302.0,0.010804645840299597,0.2060871484702663,,NaN,0.0,,NaN,NaN,,1360.0,6.864823529411767
PL,Search Engine,2491.988634227177,176047.0,14.15524623667076,30894.0,0.17548722784256476,0.08066254399647754,21409.0,0.11639911412149923,0.6929824561403509,115.0,21.669466384584148,0.005371572703068803,0.0,,NaN
PL,Display,2522.9678229999995,3494022.0,0.7220812642278726,11762.0,0.0033663211050188008,0.21450160032307428,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,Social Networks,13024.220000000005,4670300.0,2.7887330578335447,52836.0,0.011313191872042482,0.24650276326746923,,NaN,0.0,,NaN,NaN,,472.0,0.0
Not Valid,Search Engine,2451.967157,114567.0,21.40203686052703,21230.0,0.1853064145870975,0.11549539128591615,,NaN,0.0,,NaN,NaN,,,NaN
GR,Display,944.5369019999999,2748020.0,0.343715439480062,32332.0,0.011765562113812853,0.02921368619324508,,NaN,0.0,,NaN,NaN,,,NaN
GR,Search Engine,760.3431459999999,64334.0,11.818682904840363,16480.0,0.2561631485684086,0.04613732682038835,,NaN,0.0,,NaN,NaN,,,NaN
GR,Social Networks,2074.1299999999997,1025877.0,2.02181158170034,11973.0,0.01167098979702245,0.17323394303850326,,NaN,0.0,,NaN,NaN,,174.0,11.920287356321838
CZ,Social Networks,5361.819999999998,2032586.0,2.6379302031992733,28076.0,0.013812945676099314,0.19097521014389507,,NaN,0.0,,NaN,NaN,,864.0,6.205810185185182
CZ,Search Engine,795.6215844945131,75847.0,10.489822728578758,10719.0,0.14132398117262385,0.07422535539644678,,NaN,0.0,,NaN,NaN,,,NaN
CZ,Display,923.5062355018509,539539.0,1.711657981168833,5544.0,0.010275438846867418,0.16657760380625017,494.0,1.8694458208539493,0.0891053391053391,0.0,NaN,0.0,0.0,,NaN
RO,Social Networks,4027.900000000001,2411108.0,1.670559759247616,24168.0,0.010023607403733056,0.16666252896391928,,NaN,0.0,,NaN,NaN,,976.0,4.1269467213114766
RO,Search Engine,562.9835694873468,52083.0,10.809353714020828,10679.0,0.20503811224391835,0.052718753580611184,,NaN,0.0,,NaN,NaN,,,NaN
RO,Display,687.6244869999999,1649352.0,0.4169058436282855,8988.0,0.005449412860323327,0.07650472708055184,,NaN,0.0,,NaN,NaN,,,NaN
HU,Social Networks,2029.4100000000003,1023864.0,1.9821089519701838,11712.0,0.011439019244743442,0.17327612704918036,,NaN,0.0,,NaN,NaN,,444.0,4.5707432432432435
HU,Display,828.3976802982745,1283304.0,0.64551944067678,10737.0,0.008366684745001964,0.0771535512990849,,NaN,0.0,,NaN,NaN,,,NaN
HU,Search Engine,620.955198,61534.0,10.091253583384795,8137.0,0.13223583709818962,0.07631254737618287,,NaN,0.0,,NaN,NaN,,,NaN
SK,Social Networks,3509.2,1456018.0,2.4101350395393464,16118.0,0.011069918091671944,0.21771932001489017,,NaN,0.0,,NaN,NaN,,420.0,8.355238095238095
SK,Search Engine,455.44614199999995,27806.0,16.379419621664386,6578.0,0.2365676472703733,0.06923778382487078,,NaN,0.0,,NaN,NaN,,,NaN
SK,Display,472.82553,398065.0,1.1878098551744063,1438.0,0.003612475349503222,0.32880773991655077,,NaN,0.0,,NaN,NaN,,,NaN
SI,Social Networks,2883.6000000000013,1292472.0,2.2310734778006807,13412.0,0.01037701397012856,0.21500149120190884,,NaN,0.0,,NaN,NaN,,374.0,7.71016042780749
SI,Search Engine,380.675688,23906.0,15.923855433782315,3149.0,0.13172425332552498,0.12088780184185455,,NaN,0.0,,NaN,NaN,,,NaN
SI,Display,385.991417,1001126.0,0.38555727950327934,3053.0,0.003049566188471781,0.12643020537176547,,NaN,0.0,,NaN,NaN,,,NaN
BG,Social Networks,1701.76,1121368.0,1.517574962010687,14620.0,0.013037646874175114,0.11639945280437757,376.0,0.0,0.025718194254445964,5.0,0.0,0.013297872340425532,0.0,182.0,9.35032967032967
BG,Display,181.55250200000003,604973.0,0.3001001730655749,2897.0,0.004788643460121361,0.0626691411805316,250.0,0.7262100080000001,0.08629616845012081,0.0,NaN,0.0,0.0,,NaN
BG,Search Engine,125.29961200000001,7192.0,17.422081757508344,1562.0,0.21718576195773082,0.08021742125480154,,NaN,0.0,,NaN,NaN,,,NaN
Linkpost - statika - F800GS,Social Networks,3135.9599999999996,2204921.0,1.4222550377088339,10284.0,0.004664112682495201,0.30493582263710617,,NaN,0.0,,NaN,NaN,,186.0,0.0
Linkpost - static - F800GS,Social Networks,3886.4999999999995,1285678.0,3.022918646815143,5516.0,0.0042903433052443925,0.7045866569978244,,NaN,0.0,,NaN,NaN,,100.0,0.0
AT,Display,2347.308028,3303254.0,0.7106047636663726,5127.0,0.0015521058931586853,0.4578326561341915,923.0,2.543128957746479,0.180027306417008,1.0,2347.308028,0.0010834236186348862,0.0,,NaN
Linkpost - static - F800,Social Networks,210.42000000000002,312105.0,0.6741961839765463,2512.0,0.008048573396773522,0.08376592356687898,,NaN,0.0,,NaN,NaN,,,NaN
