Week of Year,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
01,23.121302999999997,580.0,39.86431551724138,97.0,0.16724137931034483,0.23836394845360823,392.0,0.058982915816326524,4.041237113402062,2.0,11.560651499999999,0.00510204081632653,0.0,NaN,,NaN
02,359.354507,795428.0,0.4517750280352213,3090.0,0.003884701066595594,0.11629595695792881,428.0,0.8396133341121496,0.13851132686084142,0.0,NaN,0.0,0.0,NaN,,NaN
03,928.3299000000001,2108965.0,0.4401826962514788,6088.0,0.0028867240565869988,0.15248520039421815,346.0,2.683034393063584,0.05683311432325887,0.0,NaN,0.0,0.0,NaN,,NaN
04,1150.732482,2751012.0,0.4182942429913064,6608.0,0.0024020251456554897,0.17414232475786923,264.0,4.3588351590909085,0.039951573849878935,0.0,NaN,0.0,0.0,NaN,,NaN
05,1133.016145,2985027.0,0.379566464557942,5852.0,0.0019604512790001565,0.19361178144224198,233.0,4.862730236051503,0.039815447710184554,1.0,1133.016145,0.004291845493562232,0.0,NaN,,NaN
06,1209.8873079999998,3175208.0,0.38104190591608483,5718.0,0.0018008269064577816,0.21159274361664915,342.0,3.5376821871345023,0.05981112277019937,0.0,NaN,0.0,0.0,NaN,,NaN
07,1206.768084,3579067.0,0.33717392940674207,6566.0,0.0018345563243158064,0.18379044837039293,408.0,2.957764911764706,0.06213828815108133,1.0,1206.768084,0.0024509803921568627,0.0,NaN,,NaN
08,782.762993,2619781.0,0.2987894762959194,4122.0,0.0015734139609379562,0.1898988338185347,274.0,2.8567992445255475,0.06647258612324114,0.0,NaN,0.0,0.0,NaN,,NaN
09,14.714448999999998,1023.0,14.383625610948192,205.0,0.20039100684261973,0.07177779999999999,171.0,0.08604940935672514,0.8341463414634146,0.0,NaN,0.0,0.0,NaN,,NaN
10,14.076440000000002,1034.0,13.613578336557062,207.0,0.20019342359767892,0.06800212560386475,175.0,0.0804368,0.8454106280193237,2.0,7.038220000000001,0.011428571428571429,0.0,NaN,,NaN
11,14.923863,1042.0,14.322325335892515,197.0,0.1890595009596929,0.0757556497461929,168.0,0.08883251785714286,0.8527918781725888,1.0,14.923863,0.005952380952380952,0.0,NaN,,NaN
12,14.949541,905.0,16.51882983425414,181.0,0.2,0.08259414917127071,143.0,0.10454224475524475,0.7900552486187845,0.0,NaN,0.0,0.0,NaN,,NaN
53,8.210309,257.0,31.946727626459147,53.0,0.20622568093385213,0.15491149056603776,,NaN,0.0,,NaN,NaN,,NaN,,NaN
