Week of Year,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
01,56.78302048301376,268.0,211.87694210079758,35.0,0.13059701492537312,1.622372013800393,46.0,1.2344134887611686,1.3142857142857143,0.0,NaN,0.0,0.0,NaN,,NaN
02,49.12950110301101,320.0,153.5296909469094,50.0,0.15625,0.9825900220602202,46.0,1.0680326326741523,0.92,0.0,NaN,0.0,0.0,NaN,,NaN
03,53.14389204129515,383.0,138.75689828014401,60.0,0.1566579634464752,0.8857315340215859,47.0,1.130721107261599,0.7833333333333333,0.0,NaN,0.0,0.0,NaN,,NaN
04,51.94434160397745,405.0,128.25763359006777,71.0,0.17530864197530865,0.7316104451264429,70.0,0.7420620229139635,0.9859154929577465,1.0,51.94434160397745,0.014285714285714285,0.0,NaN,,NaN
05,84.11827576062261,528.0,159.3149162133004,105.0,0.19886363636363635,0.8011264358154534,110.0,0.7647115978238419,1.0476190476190477,2.0,42.059137880311305,0.01818181818181818,0.0,NaN,,NaN
06,99.91278759034925,622.0,160.6314913028123,107.0,0.1720257234726688,0.9337643700032641,109.0,0.9166310788105436,1.0186915887850467,1.0,99.91278759034925,0.009174311926605505,0.0,NaN,,NaN
07,90.08240311480044,716.0,125.813412171509,104.0,0.1452513966480447,0.8661769530269273,109.0,0.8264440652733985,1.0480769230769231,0.0,NaN,0.0,0.0,NaN,,NaN
08,102.58130772933546,601.0,170.68437226178946,111.0,0.18469217970049917,0.9241559254895086,120.0,0.8548442310777955,1.0810810810810811,1.0,102.58130772933546,0.008333333333333333,0.0,NaN,,NaN
09,110.38054721781229,849.0,130.01242310696384,148.0,0.17432273262661954,0.7458145082284614,141.0,0.7828407604100163,0.9527027027027027,1.0,110.38054721781229,0.0070921985815602835,0.0,NaN,,NaN
10,122.41991167331726,1076.0,113.77315211274838,188.0,0.17472118959107807,0.6511697429431769,169.0,0.7243781755817589,0.898936170212766,0.0,NaN,0.0,0.0,NaN,,NaN
11,116.02453384011687,908.0,127.78032361246352,183.0,0.20154185022026433,0.6340138461208572,185.0,0.6271596423790101,1.010928961748634,0.0,NaN,0.0,0.0,NaN,,NaN
12,109.29878972379379,1098.0,99.54352433861,199.0,0.18123861566484517,0.5492401493657979,175.0,0.6245645127073931,0.8793969849246231,1.0,109.29878972379379,0.005714285714285714,0.0,NaN,,NaN
